id,file,character
0,0.png,가
1,1.png,각
2,2.png,갂
3,3.png,갃
4,4.png,간
5,5.png,갅
6,6.png,갆
7,7.png,갇
8,8.png,갈
9,9.png,갉
10,10.png,갊
11,11.png,갋
12,12.png,갌
13,13.png,갍
14,14.png,갎
15,15.png,갏
16,16.png,감
17,17.png,갑
18,18.png,값
19,19.png,갓
20,20.png,갔
21,21.png,강
22,22.png,갖
23,23.png,갗
24,24.png,갘
25,25.png,같
26,26.png,갚
27,27.png,갛
28,28.png,개
29,29.png,객
30,30.png,갞
31,31.png,갟
32,32.png,갠
33,33.png,갡
34,34.png,갢
35,35.png,갣
36,36.png,갤
37,37.png,갥
38,38.png,갦
39,39.png,갧
40,40.png,갨
41,41.png,갩
42,42.png,갪
43,43.png,갫
44,44.png,갬
45,45.png,갭
46,46.png,갮
47,47.png,갯
48,48.png,갰
49,49.png,갱
50,50.png,갲
51,51.png,갳
52,52.png,갴
53,53.png,갵
54,54.png,갶
55,55.png,갷
56,56.png,갸
57,57.png,갹
58,58.png,갺
59,59.png,갻
60,60.png,갼
61,61.png,갽
62,62.png,갾
63,63.png,갿
64,64.png,걀
65,65.png,걁
66,66.png,걂
67,67.png,걃
68,68.png,걄
69,69.png,걅
70,70.png,걆
71,71.png,걇
72,72.png,걈
73,73.png,걉
74,74.png,걊
75,75.png,걋
76,76.png,걌
77,77.png,걍
78,78.png,걎
79,79.png,걏
80,80.png,걐
81,81.png,걑
82,82.png,걒
83,83.png,걓
84,84.png,걔
85,85.png,걕
86,86.png,걖
87,87.png,걗
88,88.png,걘
89,89.png,걙
90,90.png,걚
91,91.png,걛
92,92.png,걜
93,93.png,걝
94,94.png,걞
95,95.png,걟
96,96.png,걠
97,97.png,걡
98,98.png,걢
99,99.png,걣
100,100.png,걤
101,101.png,걥
102,102.png,걦
103,103.png,걧
104,104.png,걨
105,105.png,걩
106,106.png,걪
107,107.png,걫
108,108.png,걬
109,109.png,걭
110,110.png,걮
111,111.png,걯
112,112.png,거
113,113.png,걱
114,114.png,걲
115,115.png,걳
116,116.png,건
117,117.png,걵
118,118.png,걶
119,119.png,걷
120,120.png,걸
121,121.png,걹
122,122.png,걺
